Gender,Age,Height,Weight,Current_Activity_Level,Exercise_Frequency,Experience_Level,Goals,Perceived_Barriers,Exercise_Types,Equipment_Availability,Preferred_Workout_Location,Preferred_Time,Exercise_Duration
Female,22,5.1,120,Good,Never,Beginner ,I'm sorry ... I'm not really interested in exercising,I don't have enough time;I can't stay motivated,I don't really exercise,No equipment,Home,Early morning,0
Female,24,5.1,115,Very good,Never,Beginner ,I want to be fit;I want to be flexible;I want to relieve stress;I'm sorry ... I'm not really interested in exercising,I don't have enough time;I'll become too tired,Walking or jogging;Swimming,No equipment,Outdoors,Early morning,0
Female,17,5.6,130,Good,1 to 2 times a week,Intermediate,I want to be fit,I can't stay motivated,Walking or jogging,resistance bands,Outdoors,Early morning,30
Female,18,5.1,120,Good,3 to 4 times a week,Intermediate,I want to be fit;I want to lose weight,I don't have enough time,Walking or jogging;Gym;Lifting weights,Full gym access,Gym,Evening,60
Female,25,5.3,150,Unfit,Never,Beginner ,I want to be fit,I can't stay motivated,I don't really exercise,No equipment,Home,Evening,0
Female,48,5,95,Average,3 to 4 times a week,Advanced,I want to be flexible,I exercise regularly with no barriers,Walking or jogging;Yoga,Yoga mat,Outdoors,Evening,60
Female,16,5.2,160,Unfit,Never,Beginner ,I want to be fit;I'm sorry ... I'm not really interested in exercising,I can't stay motivated;I don't really enjoy exercising,Walking or jogging,No equipment,Outdoors,Early morning,0
Female,16,5.7,135,Average,1 to 2 times a week,Beginner ,I want to be fit;I want to lose weight,I don't have enough time;I can't stay motivated;I'll become too tired;Less stamina,Walking or jogging,No equipment,Outdoors,Evening,30
Female,17,5.6,135,Average,Everyday,Intermediate,I want to relieve stress,I can't stay motivated,Walking or jogging;Yoga,Yoga mat,Home,Early morning,30
Female,15,5.4,160,Unfit,2 to 3 times a week,Intermediate,I want to lose weight,I can't stay motivated,Zumba dance,No equipment,Home,Evening,30
Female,24,5.6,140,Average,1 to 2 times a week,Beginner ,I want to relieve stress,I don't have enough time,Yoga,Yoga mat,Home,Early morning,60
Female,23,5.4,125,Good,3 to 4 times a week,Intermediate,I want to be flexible,I don't have enough time,Yoga,Yoga mat,Home,Early morning,30
Female,20,5.3,130,Average,1 to 2 times a week,Beginner ,I want to be fit;I want to lose weight,I don't have enough time;I can't stay motivated,Walking or jogging;Yoga,No equipment,Outdoors,Early morning,30
Female,24,5.5,140,Average,3 to 4 times a week,Intermediate,I want to be fit;I want to lose weight,I can't stay motivated;I'll become too tired,Gym,Full gym access,Gym,Early morning,30
Female,23,5.5,140,Average,Everyday,Intermediate,I want to lose weight,I don't have enough time,Gym;Swimming,Full gym access;Pool access,Gym,Evening,60
Female,18,5.7,130,Good,Everyday,Intermediate,I want to be fit,I don't have enough time;I can't stay motivated;I am not regular in anything,Gym;Team sport,Full gym access,Gym,Early morning,60
Female,15,5.6,140,Average,1 to 2 times a week,Beginner ,I want to be fit;I want to be flexible,I can't stay motivated,Walking or jogging,No equipment,Outdoors,Afternoon,30
Female,23,5.3,165,Unfit,1 to 2 times a week,Beginner ,I want to be fit,I don't have enough time,Walking or jogging,No equipment,Outdoors,Evening,30
Female,24,5.3,130,Average,1 to 2 times a week,Beginner ,I want to be fit;I want to relieve stress,I don't really enjoy exercising,Walking or jogging,No equipment,Outdoors,Evening,30
Female,24,5.3,125,Good,Never,Beginner ,I want to be fit;I want to lose weight,I don't have enough time;I don't really enjoy exercising,I don't really exercise,No equipment,Home,Early morning,0
Female,21,5.3,130,Average,2 to 3 times a week,Beginner ,I want to be fit;I want to lose weight;I want to be flexible;I want to relieve stress,I can't stay motivated;I'll become too tired,Walking or jogging;Gym;Yoga,Full gym access;Yoga mat,Gym,Early morning,60
Female,32,5.6,145,Average,1 to 2 times a week,Beginner ,I want to lose weight,I can't stay motivated,Walking or jogging;I don't really exercise,No equipment,Outdoors,Evening,30
Female,23,5.5,135,Good,2 to 3 times a week,Beginner ,I want to be fit;I want to lose weight;I want to be flexible,I don't have enough time;I can't stay motivated,Walking or jogging;Yoga,Yoga mat,Home,Early morning,30
Female,24,5,120,Good,1 to 2 times a week,Beginner ,I want to be fit,I can't stay motivated,Walking or jogging;Zumba dance;Team sport,Full gym access,Gym,Evening,30
Female,20,5.6,140,Average,1 to 2 times a week,Beginner ,I want to be fit;I want to lose weight;I want to be flexible,I don't have enough time,Yoga,Yoga mat,Home,Evening,30
Female,17,5.1,115,Good,2 to 3 times a week,Beginner ,I want to be fit,I'll become too tired,Walking or jogging;Zumba dance,No equipment,Outdoors,Evening,30
Female,18,5.2,150,Unfit,Never,Beginner ,I'm sorry ... I'm not really interested in exercising,I don't have enough time;I can't stay motivated;I don't really enjoy exercising,I don't really exercise,No equipment,Home,Early morning,0
Female,23,5.8,140,Good,5 to 6 times a week,Intermediate,I want to be fit;I want to lose weight;I want to be flexible;I want to achieve a sporting goal,I am lazy,Team sport,Full gym access,Gym,Early morning,60
Female,25,5.7,135,Good,1 to 2 times a week,Beginner ,I want to be fit;I want to be flexible,I can't stay motivated,Walking or jogging,No equipment,Outdoors,Evening,30
Female,22,5.4,130,Average,2 to 3 times a week,Beginner ,I want to be fit;I want to lose weight;I want to be flexible,I can't stay motivated,Walking or jogging,No equipment,Outdoors,Early morning,30
Female,22,5.3,125,Average,Never,Beginner ,I want to relieve stress,I don't have enough time;I can't stay motivated,I don't really exercise,No equipment,Home,Early morning,0
Female,29,5.2,120,Good,Never,Beginner ,I want to be flexible,I'll become too tired,Walking or jogging,No equipment,Outdoors,Evening,0
